Site Building Name,Site Street No,Site Street 1,Site Street 2,Site Town,Site Postcode,MPAN Topline,Meter Number,Usage,Proposed Start Date,Energization Status,Annualised AQ,Status
,,,,,,,1100021524567,,,,,Unfound
,,,,,,,1213732027,1213732027,,,1213732027,Unfound
,,,,,,,7453325193,7453325193,,,7453325193,Unfound
,,,,,,,1598763245,1598763245,,,1598763245,Unfound
,,,,,,,1753214650,1753214650,,,1753214650,Unfound
,,,,,,,2076372888,2076372888,,,2076372888,Unfound
,,,,,,,1902785843,1902785843,,,1902785843,Unfound
,,,,,,,5060584804,,,,,Unfound
,,,,,,,1213517911,1213517911,,,1213517911,Unfound
,,,,,,,1215571465,1215571465,,,1215571465,Unfound
,,,,,,,1904640900,1904640900,,,1904640900,Unfound
,,,,,,,1217060781,1217060781,,,1217060781,Unfound
,,,,,,,1214499368,1214499368,,,1214499368,Unfound
,,,,,,,7498666068,7498666068,,,7498666068,Unfound
,,,,,,,7984976847,7984976847,,,7984976847,Unfound
,,,,,,,1217776455,1217776455,,,1217776455,Unfound
,,,,,,,1213082299,1213082299,,,1213082299,Unfound
,,,,,,,1159825582,1159825582,,,1159825582,Unfound
,,,,,,,1205355366,1205355366,,,1205355366,Unfound
,,,,,,,1216036114,1216036114,,,1216036114,Unfound
,,,,,,,7528806539,7528806539,,,7528806539,Unfound
,,,,,,,8452336600,8452336600,,,8452336600,Unfound
,,,,,,,1159497421,1159497421,,,1159497421,Unfound
,,,,,,,1815133902,,,,,Unfound
,,,,,,,1159720833,1159720833,,,1159720833,Unfound
,,,,,,,1159240870,1159240870,,,1159240870,Unfound
,,,,,,,1217714681,1217714681,,,1217714681,Unfound
,,,,,,,1159110595,1159110595,,,1159110595,Unfound
,,,,,,,1604811824,1604811824,,,1604811824,Unfound
,,,,,,,1604686240,1604686240,,,1604686240,Unfound
,,,,,,,1522529114,1522529114,,,1522529114,Unfound
,,,,,,,3031754201,,,,,Unfound
,,,,,,,1623721721,1623721721,,,1623721721,Unfound
,,,,,,,8455280756,8455280756,,,8455280756,Unfound
,,,,,,,1452731417,1452731417,,,1452731417,Unfound
,,,,,,,1949878889,1949878889,,,1949878889,Unfound
,,,,,,,1526321094,1526321094,,,1526321094,Unfound
,,,,,,,1904567912,1904567912,,,1904567912,Unfound
,,,,,,,1623752211,1623752211,,,1623752211,Unfound
,,,,,,,1159486900,1159486900,,,1159486900,Unfound
,,,,,,,1604621325,1604621325,,,1604621325,Unfound
,,,,,,,1159397367,1159397367,,,1159397367,Unfound
,,,,,,,1159251506,1159251506,,,1159251506,Unfound
,,,,,,,1773714779,1773714779,,,1773714779,Unfound
,,,,,,,1159399077,1159399077,,,1159399077,Unfound
,,,,,,,1159617420,1159617420,,,1159617420,Unfound
,,,,,,,1212362427,1212362427,,,1212362427,Unfound
,,,,,,,1159795206,1159795206,,,1159795206,Unfound
,,,,,,,1604880622,1604880622,,,1604880622,Unfound
,,,,,,,1904655429,1904655429,,,1904655429,Unfound
,,,,,,,1454314980,1454314980,,,1454314980,Unfound
,,,,,,,1159296397,1159296397,,,1159296397,Unfound
,,,,,,,156544,156544,,,156544,Unfound
,,,,,,,109972,109972,,,109972,Unfound
,,,,,,,202244,202244,,,202244,Unfound
,,,,,,,107064,107064,,,107064,Unfound
,,,,,,,155630,155630,,,155630,Unfound
,,,,,,,110412,110412,,,110412,Unfound
,,,,,,,149285,149285,,,149285,Unfound
,,,,,,,160255,160255,,,160255,Unfound
,,,,,,,416356103,416356103,,,416356103,Unfound
,,,,,,,4155188601,,,,,Unfound
,,,,,,,170862,170862,,,170862,Unfound
,,,,,,,1159390724,1159390724,,,1159390724,Unfound
,,,,,,,1773765000,1773765000,,,1773765000,Unfound
,,,,,,,1159870520,1159870520,,,1159870520,Unfound
,,,,,,,1604630144,1604630144,,,1604630144,Unfound
,,,,,,,9204906101,9204906101,,,6337,Unfound
,,,,,,,8816603706,8816603706,,,101130,Unfound
,,,,,,,1159504877,1159504877,,,1159504877,Unfound
,,,,,,,1213595544,1213595544,,,1213595544,Unfound
,,,,,,,1684592643,1684592643,,,1684592643,Unfound
,,,,,,,7864877947,7864877947,,,7864877947,Unfound
,,,,,,,1159632080,1159632080,,,1159632080,Unfound
,,,,,,,1159770195,1159770195,,,1159770195,Unfound
,,,,,,,46842800,,,,,Unfound
,,,,,,,1452840042,1452840042,,,1452840042,Unfound
,,,,,,,1159856954,1159856954,,,1159856954,Unfound
,,,,,,,1159871280,1159871280,,,1159871280,Unfound
,,,,,,,1159782478,1159782478,,,1159782478,Unfound
,,,,,,,60426307,,,,,Unfound
,,,,,,,1217724466,1217724466,,,1217724466,Unfound
,,,,,,,1636821557,1636821557,,,1636821557,Unfound
